,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend
237455,1164627,NORMAL,462,25,2022-09-19 07:23:00,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,19/09/2022 7:31,30.0,30 - HUMBOLDT,20846,E20038,148.0,FIT,Dbizi Ordinario,43.308028841403846,-1.9788430368132444,43.3100607540581,-1.971309291351586,2022-09-19 07:23:00,True,True
237456,1164626,NORMAL,1417,14,2022-09-19 07:23:00,14 - BERMINGHAM,19/09/2022 7:46,45.0,45 - XABIER LIZARDI,20941,E20012,92.0,FIT,Dbizi Ordinario,43.323775729352455,-1.9714737017795105,43.301489470754845,-2.0046293584460266,2022-09-19 07:23:00,True,True
237454,1164630,NORMAL,609,11,2022-09-19 07:24:00,11 - SAN FRANTZISKO-IPARRAGIRRE,19/09/2022 7:34,9.0,09 - EASO,21679,E20037,57.0,FIT,Dbizi Ordinario Grupal FN o FNE -5,43.322754906556675,-1.9754242189721487,43.31328896200965,-1.9817650765547319,2022-09-19 07:24:00,True,True
237453,1164631,NORMAL,457,35,2022-09-19 07:24:00,35 - MUNTO,19/09/2022 7:32,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,1679,P32425,794.0,EFIT,Ordinario,43.306922838390456,-1.9933626516954035,43.30907225552243,-2.0106573112517827,2022-09-19 07:24:00,True,True
237452,1164632,NORMAL,394,9,2022-09-19 07:24:00,09 - EASO,19/09/2022 7:31,47.0,01 - UDALETXEA / AYUNTAMIENTO,12457,P15799,77.0,FIT,Ordinario,43.31328896200965,-1.9817650765547319,43.32145412113152,-1.9864178021210355,2022-09-19 07:24:00,True,True
237450,1164635,NORMAL,303,19,2022-09-19 07:25:00,19 - FRANTZIA PASEALEKUA,19/09/2022 7:30,2.0,02 - BRETXA,18777,P15780,260.0,FIT,Dbizi Ordinario,43.31785597968304,-1.9773212084271625,43.322867283695366,-1.982435071211216,2022-09-19 07:25:00,True,True
237449,1164636,NORMAL,921,29,2022-09-19 07:25:00,29 - EUSKAL KORTSARIOAK / CORSARIOS VASCOS,19/09/2022 7:40,45.0,45 - XABIER LIZARDI,9565,P15712,158.0,FIT,Dbizi Ordinario,43.306105430715554,-1.9729627738199256,43.301489470754845,-2.0046293584460266,2022-09-19 07:25:00,True,True
237448,1164640,NORMAL,546,7,2022-09-19 07:26:00,07 - MARQUÉS MIRAFLORES,19/09/2022 7:35,41.0,41 - TOLOSA HIRIBIDEA-KARLOS SANTAMARIA,14676,P32385,761.0,EFIT,Ordinario,43.31704533570667,-1.9860015608223442,43.30907225552243,-2.0106573112517827,2022-09-19 07:26:00,True,True
237445,1164644,NORMAL,381,35,2022-09-19 07:27:00,35 - MUNTO,19/09/2022 7:33,37.0,37 - ANDOAIN,821,P32395,720.0,EFIT,Ordinario,43.306922838390456,-1.9933626516954035,43.298994502059585,-1.9916941032626039,2022-09-19 07:27:00,True,True
237446,1164643,NORMAL,536,38,2022-09-19 07:27:00,38 - KRISTINA INFANTA,19/09/2022 7:36,9.0,09 - EASO,1845,P15878,80.0,FIT,Ordinario,43.31444640411938,-2.0043079706293203,43.31328896200965,-1.9817650765547319,2022-09-19 07:27:00,True,True
